,x,y,Velocity,Classification results
290,0.525143,0.755074,3.1e-05,0.0
291,0.524889,0.755322,3.2e-05,0.0
292,0.524878,0.755183,1.3e-05,0.0
293,0.52503,0.755162,1.4e-05,0.0
294,0.525188,0.755235,1.6e-05,0.0
295,0.525818,0.754781,7.1e-05,0.0
296,0.52633,0.754141,7.5e-05,0.0
297,0.526774,0.753617,6.2e-05,0.0
298,0.526392,0.753862,4.1e-05,0.0
299,0.526198,0.754416,5.3e-05,0.0
300,0.528239,0.754177,0.000187,0.0
301,0.548461,0.737383,0.00239,2.0
302,0.577826,0.709659,0.003671,2.0
303,0.616691,0.668591,0.00514,2.0
304,0.657752,0.613976,0.006212,2.0
305,0.688665,0.576514,0.004415,2.0
306,0.714463,0.542652,0.00387,2.0
307,0.730858,0.528221,0.001986,2.0
308,0.740751,0.517973,0.001295,2.0
309,0.746414,0.51309,0.00068,2.0
310,0.749875,0.508192,0.000545,2.0
311,0.75242,0.504563,0.000403,2.0
312,0.755314,0.496858,0.000748,2.0
313,0.755912,0.492298,0.000418,2.0
314,0.756627,0.488172,0.000381,2.0
315,0.755697,0.487202,0.000122,0.0
316,0.754768,0.487017,8.6e-05,0.0
317,0.754103,0.486633,7e-05,0.0
318,0.754375,0.485176,0.000135,0.0
319,0.754865,0.481558,0.000332,0.0
320,0.755299,0.479569,0.000185,0.0
321,0.755557,0.479686,2.6e-05,0.0
322,0.755443,0.480715,9.4e-05,0.0
323,0.755603,0.481723,9.3e-05,0.0
324,0.755394,0.482394,6.4e-05,0.0
325,0.755105,0.483649,0.000117,0.0
326,0.754277,0.483631,7.5e-05,0.0
327,0.753273,0.481792,0.00019,0.0
328,0.753042,0.479358,0.000222,0.0
329,0.752985,0.47763,0.000157,0.0
330,0.752853,0.477441,2.1e-05,0.0
331,0.752454,0.477229,4.1e-05,0.0
332,0.752013,0.47728,4e-05,0.0
333,0.751953,0.477187,1e-05,0.0
334,0.754175,0.477251,0.000202,0.0
335,0.756603,0.477214,0.000221,0.0
336,0.759404,0.47805,0.000266,0.0
337,0.761723,0.478244,0.000212,0.0
338,0.763578,0.478385,0.000169,0.0
339,0.765164,0.476762,0.000206,0.0
340,0.76687,0.475758,0.00018,0.0
341,0.768535,0.475178,0.00016,0.0
342,0.769879,0.475955,0.000141,0.0
343,0.77069,0.477365,0.000148,0.0
344,0.771416,0.478566,0.000128,0.0
345,0.772123,0.478889,7.1e-05,0.0
346,0.772572,0.478423,5.9e-05,0.0
347,0.772969,0.478128,4.5e-05,0.0
348,0.773201,0.478697,5.6e-05,0.0
349,0.773457,0.479834,0.000106,0.0
350,0.7738,0.480608,7.7e-05,0.0
351,0.773989,0.480946,3.5e-05,0.0
352,0.774428,0.480316,7e-05,0.0
353,0.77459,0.479575,6.9e-05,0.0
354,0.775095,0.479401,4.9e-05,0.0
355,0.77517,0.479895,4.5e-05,0.0
356,0.775331,0.480565,6.3e-05,0.0
357,0.775256,0.480387,1.8e-05,0.0
358,0.775445,0.480342,1.8e-05,0.0
359,0.775485,0.480362,4e-06,0.0
360,0.775781,0.480297,2.8e-05,0.0
361,0.776189,0.480284,3.7e-05,0.0
362,0.776604,0.48003,4.4e-05,0.0
363,0.77687,0.48042,4.3e-05,0.0
364,0.777063,0.480834,4.2e-05,0.0
365,0.777397,0.481181,4.4e-05,0.0
366,0.777793,0.481372,4e-05,0.0
367,0.778111,0.481322,2.9e-05,0.0
368,0.778232,0.481415,1.4e-05,0.0
369,0.777881,0.481633,3.8e-05,0.0
370,0.777225,0.482157,7.6e-05,0.0
371,0.776808,0.482556,5.2e-05,0.0
372,0.776877,0.483009,4.2e-05,0.0
373,0.776794,0.482888,1.3e-05,0.0
374,0.775611,0.482825,0.000108,0.0
